Release Artist;Release Title;Release Type;UPC;ISRC;Grid;Vendor;Country of Sale;Country Code;Delivery Type;Delivery Format;Net Units;Net Payable
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Spotify;UNITED KINGDOM;GB;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Spotify;JAPAN;JP;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Spotify;LUXEMBOURG;LU;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Spotify;LUXEMBOURG;LU;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Spotify;UNITED STATES;US;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;ARGENTINA;AR;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;ARGENTINA;AR;Stream;;3  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;ARGENTINA;AR;Stream;;5  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;AUSTRALIA;AU;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;BARBADOS;BB;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;BARBADOS;BB;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;BANGLADESH;BD;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;BANGLADESH;BD;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;BELGIUM;BE;Stream;;2  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;BELGIUM;BE;Stream;;10  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;BELGIUM;BE;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;BELGIUM;BE;Stream;;20  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;BRAZIL;BR;Stream;;6  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;BRAZIL;BR;Stream;;6  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;BAHAMAS;BS;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;BAHAMAS;BS;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;CANADA;CA;Stream;;4  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;CANADA;CA;Stream;;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;CANADA;CA;Stream;;2  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;SWITZERLAND;CH;Stream;;2  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;SWITZERLAND;CH;Stream;;8  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;CÔTE D'IVOIRE;CI;Stream;;2  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;CÔTE D'IVOIRE;CI;Stream;;2  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Youtube;COLOMBIA;CO;Stream;;3  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Youtube;COLOMBIA;CO;Stream;;3  ;$0,00
